model_full_name,year,brand,sub_model,value_type,engine,miles,price
2018 Kia Niro EX Premium,2018,Kia,Niro,great Value,4 Cyl 1.6 L,41599,25735
2019 Volkswagen Jetta S,2019,Volkswagen,Jetta,great Value,,11535,20797
2018 Toyota Highlander XLE,2018,Toyota,Highlander,great Value,,56011,34290
2016 Subaru WRX Premium,2016,Subaru,WRX,great Value,,82286,23995
2018 Jeep Wrangler Sahara,2018,Jeep,Wrangler,great Value,,18423,45380
2019 Ram 1500 Laramie,2019,Ram,1500,great Value,,25463,48978
2018 Ford Explorer Limited Edition,2018,Ford,Explorer,great Value,,33360,38460
2021 Volkswagen Jetta S,2021,Volkswagen,Jetta,great Value,,6198,21759
2018 Dodge Challenger R/T,2018,Dodge,Challenger,great Value,,28063,33985
2018 GMC Acadia SLT SLT-2,2018,GMC,Acadia,great Value,,73510,31187
2018 Volkswagen Tiguan SEL Premium,2018,Volkswagen,Tiguan,great Value,,40948,30687
2019 Kia Stinger GT2,2019,Kia,Stinger,great Value,,30243,41799
2020 Volkswagen Passat S,2020,Volkswagen,Passat,great Value,,22983,21591
2019 Chevrolet Silverado 1500 LTZ,2019,Chevrolet,Silverado,great Value,,15831,53588
2019 Honda Civic Si,2019,Honda,Civic,great Value,,24321,28995
2019 Subaru Impreza 2.0i,2019,Subaru,Impreza,great Value,,18015,20988
2019 Kia Niro LX,2019,Kia,Niro,great Value,,29004,25425
2019 Subaru Crosstrek Limited,2019,Subaru,Crosstrek,great Value,,35595,29999
2019 Honda Accord EXL,2019,Honda,Accord,great Value,,26738,27888
2018 Honda Civic EX,2018,Honda,Civic,great Value,,35249,22478
2019 Mini Cooper Countryman S,2019,Mini,Cooper,great Value,,42480,28898
2016 Land Rover Discovery Sport HSE,2016,Land,Rover,great Value,,84275,22988
2013 Ford Fusion SE,2013,Ford,Fusion,great Value,,96181,11995
2016 Ford Focus SE,2016,Ford,Focus,great Value,,60809,12991
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,49309,37995
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,6 Cyl 3.5 L,49309,37995
2018 Subaru Impreza 2.0i Limited,2018,Subaru,Impreza,great Value,,32256,25444
2020 Volkswagen Passat R-Line,2020,Volkswagen,Passat,great Value,,4526,26888
2018 Volkswagen Golf SE,2018,Volkswagen,Golf,great Value,,72817,17811
2019 Mini Cooper S,2019,Mini,Cooper,great Value,,33117,27489
2018 Hyundai Sonata SE,2018,Hyundai,Sonata,great Value,,46385,17898
2019 Toyota RAV4 XLE,2019,Toyota,RAV4,great Value,,13065,33988
2019 Kia Soul Soul!,2019,Kia,Soul,great Value,,8648,23588
2018 Honda Accord EXL,2018,Honda,Accord,great Value,,13956,28488
2019 Audi A7 Prestige,2019,Audi,A7,great Value,,14115,67725
2018 Mercedes-Benz CLA 250,2018,Mercedes-Benz,CLA,great Value,,10828,30489
2018 Volkswagen Tiguan SE,2018,Volkswagen,Tiguan,great Value,,65507,25991
2016 Chevrolet Cruze LS,2016,Chevrolet,Cruze,great Value,,41943,14295
2015 Jeep Cherokee Latitude,2015,Jeep,Cherokee,great Value,,75446,17999
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,34368,37000
2019 Subaru Impreza 2.0i,2019,Subaru,Impreza,great Value,,41708,21857
2019 Volkswagen Tiguan S,2019,Volkswagen,Tiguan,great Value,,27970,25477
2019 Kia Soul+,2019,Kia,Soul+,great Value,,39849,19491
2019 Kia Sportage EX,2019,Kia,Sportage,great Value,,21872,28999
2018 Toyota Camry SE,2018,Toyota,Camry,great Value,,35691,24688
2018 Ford Focus SE,2018,Ford,Focus,great Value,,152353,9990
2019 Volkswagen Jetta S,2019,Volkswagen,Jetta,great Value,,23851,19988
2013 Toyota Sienna LE,2013,Toyota,Sienna,great Value,,144888,13995
2016 Toyota Tacoma SR5,2016,Toyota,Tacoma,great Value,,101656,24996
2019 Lexus IS 300,2019,Lexus,IS,great Value,,20435,34995
2019 Toyota Tacoma SR5,2019,Toyota,Tacoma,great Value,6 Cyl 3.5 L,12306,42999
2017 Kia Forte EX,2017,Kia,Forte,good Value,,28144,19499
2019 Mercedes-Benz AMG GT 53,2019,Mercedes-Benz,AMG,great Value,,23598,97500
2017 Hyundai Elantra Sport,2017,Hyundai,Elantra,great Value,,34410,18880
2017 Hyundai Tucson Value Edition,2017,Hyundai,Tucson,great Value,,30015,23488
2018 Hyundai Elantra Sport,2018,Hyundai,Elantra,great Value,,22155,20895
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,15154,39988
2013 Toyota Corolla LE,2013,Toyota,Corolla,great Value,,83923,11499
2018 Mercedes-Benz E-Class E 400,2018,Mercedes-Benz,E-Class,great Value,,20580,49491
2018 Ford Escape S,2018,Ford,Escape,great Value,,40373,18791
2018 Volkswagen Tiguan SE,2018,Volkswagen,Tiguan,great Value,,43682,25349
2013 Ford F-150 XL,2013,Ford,F-150,great Value,,194132,14995
2019 Lexus RX 350,2019,Lexus,RX,great Value,,31909,41998
2018 Buick Enclave Essence,2018,Buick,Enclave,great Value,,40815,32832
2021 Infiniti QX50 Luxe,2021,Infiniti,QX50,great Value,,2935,42888
2020 Toyota Tacoma TRD Off Road,2020,Toyota,Tacoma,great Value,,18104,43995
2021 Subaru Legacy Touring XT,2021,Subaru,Legacy,great Value,,5000,38995
2018 Ford Escape SE,2018,Ford,Escape,great Value,,43524,22995
2019 Toyota Camry LE,2019,Toyota,Camry,great Value,,15510,25995
2017 Ford Escape Titanium,2017,Ford,Escape,great Value,,79366,19906
2017 Chevrolet Equinox Premier,2017,Chevrolet,Equinox,great Value,,45452,23580
2014 Jeep Wrangler Sahara,2014,Jeep,Wrangler,great Value,,88862,29998
2015 Volkswagen Passat SE,2015,Volkswagen,Passat,great Value,,167872,9737
2020 Dodge Charger GT,2020,Dodge,Charger,great Value,,10973,36381
2016 Kia Sorento LX,2016,Kia,Sorento,great Value,,95461,16790
2018 Toyota Camry XSE,2018,Toyota,Camry,great Value,6 Cyl 3.5 L,73732,28500
2016 Honda Civic EX,2016,Honda,Civic,great Value,,40436,20999
2019 Ford Fusion SE,2019,Ford,Fusion,great Value,,8465,22491
2018 Toyota Highlander XLE,2018,Toyota,Highlander,great Value,,16556,37588
2021 Toyota Corolla SE,2021,Toyota,Corolla,great Value,,8809,24891
2019 Kia Sportage EX,2019,Kia,Sportage,great Value,,19671,27988
2018 Volvo S60 T5 Inscription Platinum,2018,Volvo,S60,great Value,,13072,28350
2018 Ford EcoSport Titanium,2018,Ford,EcoSport,great Value,,32658,21381
2019 Subaru Impreza Sport,2019,Subaru,Impreza,great Value,,44858,22492
2017 Subaru Outback 3.6R Limited,2017,Subaru,Outback,great Value,,31420,29695
2020 Volvo XC90 T5 Momentum,2020,Volvo,XC90,great Value,,12684,50730
2018 Volvo XC90 T6 Momentum,2018,Volvo,XC90,great Value,,32703,42290
2017 Honda HR-V EX,2017,Honda,HR-V,great Value,,18829,24325
2019 Hyundai Tucson SEL,2019,Hyundai,Tucson,great Value,,22589,26995
2018 Chevrolet Malibu Premier 2LZ,2018,Chevrolet,Malibu,great Value,,19742,21949
2019 Honda Odyssey EX L,2019,Honda,Odyssey,great Value,,27083,36988
2019 Subaru Forester Limited,2019,Subaru,Forester,great Value,,43570,30988
2017 Toyota Corolla LE,2017,Toyota,Corolla,great Value,,19705,19277
2020 Acura TLX Technology,2020,Acura,TLX,great Value,,16085,34388
2012 Chevrolet Silverado 1500 LT,2012,Chevrolet,Silverado,great Value,,215586,13888
2018 Hyundai Elantra Value Edition,2018,Hyundai,Elantra,great Value,,31305,17995
2020 Volkswagen Passat R-Line,2020,Volkswagen,Passat,great Value,,17491,26798
2018 GMC Terrain SLE,2018,GMC,Terrain,great Value,,32855,24384
2012 Volvo XC60 Premier Plus,2012,Volvo,XC60,great Value,,108604,11998
2016 Honda Fit EXL,2016,Honda,Fit,great Value,,21937,18971
2016 Honda Fit EXL,2016,Honda,Fit,great Value,•,21937,18971
2019 Toyota C-HR LE,2019,Toyota,C-HR,great Value,,40314,20999
2016 Chevrolet Camaro SS 2SS,2016,Chevrolet,Camaro,great Value,,40173,36488
2019 BMW 5 Series M550i xDrive,2019,BMW,5,great Value,,50454,55995
2015 Dodge Challenger R/T Plus,2015,Dodge,Challenger,great Value,,125610,23718
2018 Jeep Grand Cherokee Overland,2018,Jeep,Grand,great Value,,30902,39322
2019 Ford F-250 Lariat,2019,Ford,F-250,great Value,,19162,71999
2018 Jeep Cherokee Trailhawk,2018,Jeep,Cherokee,great Value,,34790,27068
2019 Chevrolet Camaro LT 1LT,2019,Chevrolet,Camaro,great Value,,15607,27028
2018 Mitsubishi Mirage ES,2018,Mitsubishi,Mirage,great Value,,40693,11988
2013 Honda Accord EXL,2013,Honda,Accord,good Value,,98488,15888
2018 Maserati Ghibli Base,2018,Maserati,Ghibli,great Value,,24247,42991
2019 Toyota RAV4 XLE Premium,2019,Toyota,RAV4,great Value,,13060,37491
2018 Jaguar F-Type Base,2018,Jaguar,F-Type,great Value,,10024,52991
2016 Kia Optima EX,2016,Kia,Optima,great Value,,65142,17363
2019 Kia Sorento EX Sport,2019,Kia,Sorento,great Value,,24187,32800
2022 Infiniti QX55 Luxe,2022,Infiniti,QX55,great Value,,3050,45991
2020 Subaru Legacy Limited XT,2020,Subaru,Legacy,great Value,,4448,33900
2018 Ford Focus SE,2018,Ford,Focus,great Value,,6815,17991
2020 GMC Sierra 1500 Denali,2020,GMC,Sierra,great Value,,17945,64880
2018 Hyundai Kona SE,2018,Hyundai,Kona,great Value,,12254,20863
2017 Hyundai Sonata Sport,2017,Hyundai,Sonata,great Value,,83600,16488
2018 Toyota 4Runner SR5 Premium,2018,Toyota,4Runner,great Value,,54229,39988
2019 Toyota C-HR,2019,Toyota,C-HR,great Value,,14733,24999
2013 Hyundai Elantra GLS,2013,Hyundai,Elantra,great Value,,100246,9950
2019 Toyota RAV4 XLE Premium,2019,Toyota,RAV4,great Value,4 Cyl 2.5 L,21244,35998
2017 Toyota Sienna Limited Premium,2017,Toyota,Sienna,great Value,,24477,37188
2016 Land Rover Discovery Sport HSE,2016,Land,Rover,great Value,,57914,26733
2016 Chevrolet Malibu LT LT1,2016,Chevrolet,Malibu,great Value,,99781,14950
2019 Ford Edge SEL,2019,Ford,Edge,great Value,,23742,28981
2015 Chevrolet Corvette Z51 LT2,2015,Chevrolet,Corvette,great Value,,25755,51995
2018 Mazda CX-5 Touring,2018,Mazda,CX-5,great Value,,24212,26800
2018 Toyota RAV4 LE,2018,Toyota,RAV4,great Value,,17265,27875
2019 Nissan Altima SR,2019,Nissan,Altima,great Value,,20991,23945
2021 Subaru Outback Limited,2021,Subaru,Outback,great Value,,5535,36638
2017 Toyota Tacoma SR,2017,Toyota,Tacoma,great Value,,43317,26995
2012 Jeep Grand Cherokee Laredo,2012,Jeep,Grand,great Value,,98758,15488
2019 Honda Civic Sport,2019,Honda,Civic,great Value,,22124,24599
2019 GMC Acadia SLE SLE-1,2019,GMC,Acadia,great Value,,27310,30755
2018 GMC Sierra 1500 Denali,2018,GMC,Sierra,great Value,,46805,47454
2019 Kia Soul Base,2019,Kia,Soul,great Value,,44275,17200
2019 Chevrolet Traverse LT LT1,2019,Chevrolet,Traverse,great Value,,35002,33997
2018 Chevrolet Cruze LS,2018,Chevrolet,Cruze,great Value,,52472,15257
2016 Chevrolet Silverado 1500 LT LT1,2016,Chevrolet,Silverado,great Value,,58655,32590
2020 Subaru Ascent Touring,2020,Subaru,Ascent,great Value,,19940,42932
2019 Audi A6 Prestige,2019,Audi,A6,great Value,,7260,56999
2018 Kia Forte LX,2018,Kia,Forte,great Value,,20082,15987
2018 Lexus IS 300,2018,Lexus,IS,great Value,,7420,34490
2020 Honda Civic Si,2020,Honda,Civic,great Value,,6135,31171
2016 Tesla Model S P100D,2016,Tesla,Model,great Value,,34564,73487
2005 Mazda RX-8,2005,Mazda,RX-8,great Value,Rotary 1.3 L,118744,8488
2014 Jeep Wrangler Sport,2014,Jeep,Wrangler,great Value,,100493,25970
2015 Kia Forte EX,2015,Kia,Forte,great Value,,89077,11677
2019 Subaru Forester Touring,2019,Subaru,Forester,great Value,,7512,36998
2019 Toyota Camry XSE,2019,Toyota,Camry,good Value,,12789,32488
2018 BMW 3 Series 330e iPerformance,2018,BMW,3,great Value,,48209,27500
2018 Jeep Grand Cherokee Overland,2018,Jeep,Grand,great Value,,40160,31999
2020 Jeep Gladiator Sport,2020,Jeep,Gladiator,great Value,,61204,37999
2020 Dodge Challenger R/T,2020,Dodge,Challenger,great Value,,1542,32999
2022 Kia Stinger GT2,2022,Kia,Stinger,good Value,,4110,54775
2018 Jeep Wrangler Sport S,2018,Jeep,Wrangler,great Value,,13001,38900
2008 Lexus LS 460 Base,2008,Lexus,LS,great Value,,150954,11991
2015 Chevrolet Silverado 1500 LT,2015,Chevrolet,Silverado,great Value,,167436,21950
2018 Toyota Highlander SE,2018,Toyota,Highlander,great Value,,29776,36500
2019 Infiniti QX50 Essential,2019,Infiniti,QX50,great Value,,32903,36991
2019 Infiniti QX50 Pure,2019,Infiniti,QX50,great Value,,41100,29491
2016 Jeep Wrangler Sport,2016,Jeep,Wrangler,great Value,,88610,30577
2013 Acura TSX Special Edition,2013,Acura,TSX,good Value,,99327,15988
2009 Ford Focus SE,2009,Ford,Focus,good Value,,101197,6295
2018 BMW 3 Series 340i xDrive Gran Turismo,2018,BMW,3,great Value,,28622,31905
2019 GMC Acadia Denali,2019,GMC,Acadia,great Value,,21821,41292
2018 BMW X5 xDrive35i,2018,BMW,X5,great Value,,101029,32970
2018 Jeep Compass Trailhawk,2018,Jeep,Compass,great Value,,18061,26190
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,16679,38998
2020 Honda Accord Sport,2020,Honda,Accord,great Value,,21396,28988
2017 Chevrolet Corvette Z51 LT2,2017,Chevrolet,Corvette,great Value,8 Cyl 6.2 L,9951,59400
2018 Toyota RAV4 Limited Edition,2018,Toyota,RAV4,great Value,,24362,31488
2019 Ram 1500 Laramie,2019,Ram,1500,great Value,,31534,44587
2019 Ford Mustang GT Premium,2019,Ford,Mustang,great Value,,8368,42500
2021 Chevrolet Tahoe RST,2021,Chevrolet,Tahoe,great Value,,1693,78200
2017 Chevrolet Cruze LT,2017,Chevrolet,Cruze,great Value,,43379,17522
2018 BMW X5 xDrive35i,2018,BMW,X5,great Value,,101029,32970
2019 Nissan Sentra S,2019,Nissan,Sentra,great Value,,56657,16412
2018 BMW 3 Series 340i xDrive Gran Turismo,2018,BMW,3,great Value,,28622,31905
2020 Honda Accord Sport,2020,Honda,Accord,great Value,,21396,28988
2019 GMC Acadia Denali,2019,GMC,Acadia,great Value,,21821,41292
2018 Chevrolet Silverado 1500 LT,2018,Chevrolet,Silverado,great Value,,53022,37984
2019 Volvo XC60 T6 Momentum,2019,Volvo,XC60,great Value,,26995,38998
2014 Jeep Grand Cherokee Overland,2014,Jeep,Grand,great Value,,126963,18695
2019 GMC Yukon Denali,2019,GMC,Yukon,great Value,,15988,68899
2018 Subaru Legacy 3.6 R Limited,2018,Subaru,Legacy,great Value,,35696,26988
2019 Mercedes-Benz E-Class E 300,2019,Mercedes-Benz,E-Class,great Value,,9171,50398
2019 Audi Q7 Premium Plus 45,2019,Audi,Q7,great Value,,16536,49899
2018 Lexus IS 300,2018,Lexus,IS,great Value,,11716,36790
2019 Ford F-150 XL,2019,Ford,F-150,great Value,,22669,39871
2019 Volkswagen Jetta SEL,2019,Volkswagen,Jetta,great Value,,20951,22999
2020 Ford Explorer XLT,2020,Ford,Explorer,great Value,,28396,37981
2019 Ram 1500 SLT Big Horn,2019,Ram,1500,great Value,,48587,38681
2016 Honda Civic EXL,2016,Honda,Civic,great Value,,54013,20995
2014 Toyota Tundra SR,2014,Toyota,Tundra,great Value,,50779,23962
2020 Volkswagen Passat R-Line,2020,Volkswagen,Passat,great Value,4 Cyl 2.0 L,6740,25960
2017 Chevrolet Tahoe LT,2017,Chevrolet,Tahoe,great Value,,74051,41988
2020 Ford F-150 XL,2020,Ford,F-150,great Value,,54670,37379
2019 Acura MDX Technology,2019,Acura,MDX,great Value,,30469,36388
2020 Dodge Charger R/T Scat Pack,2020,Dodge,Charger,great Value,,1344,49000
2019 Volkswagen Jetta S,2019,Volkswagen,Jetta,great Value,,19000,18988
2018 Volkswagen Passat S,2018,Volkswagen,Passat,great Value,,24690,19888
2019 Volkswagen Golf S,2019,Volkswagen,Golf,great Value,,17392,27988
2016 Kia Sorento EX,2016,Kia,Sorento,great Value,,111198,16485
2017 Jeep Wrangler Sport,2017,Jeep,Wrangler,great Value,,73579,28988
2013 Ford Escape SEL,2013,Ford,Escape,great Value,,70107,14650
2018 Honda Civic Touring,2018,Honda,Civic,great Value,,20962,25984
2019 Acura TLX Technology,2019,Acura,TLX,great Value,,11469,31488
2018 Acura RDX Advance,2018,Acura,RDX,great Value,,76543,29388
2019 Acura RDX Base,2019,Acura,RDX,great Value,,31097,35113
2019 Subaru Forester Limited,2019,Subaru,Forester,great Value,,7830,35988
2017 Hyundai Tucson SE,2017,Hyundai,Tucson,great Value,,53643,21995
2012 Audi A5 Premium Plus,2012,Audi,A5,great Value,,109864,15888
2021 Kia Sorento S,2021,Kia,Sorento,fair Value,,7798,38988
2015 Jeep Cherokee Latitude,2015,Jeep,Cherokee,great Value,,99198,15781
2018 BMW 3 Series 340i,2018,BMW,3,great Value,,40144,39495
2019 Lexus GX 460,2019,Lexus,GX,great Value,,52274,44900
2019 Honda CR-V Touring,2019,Honda,CR-V,great Value,,15394,33963
2021 Subaru Ascent Limited,2021,Subaru,Ascent,great Value,,4712,42368
2014 Jeep Cherokee Latitude,2014,Jeep,Cherokee,great Value,,46481,16991
2019 Honda Pilot Touring,2019,Honda,Pilot,great Value,6 Cyl 3.5 L,29246,41320
2014 Jeep Cherokee Latitude,2014,Jeep,Cherokee,great Value,,46481,16991
2007 Chevrolet Suburban 1500 LT,2007,Chevrolet,Suburban,great Value,,191131,9499
2019 Jeep Grand Cherokee Altitude,2019,Jeep,Grand,great Value,,23923,37995
2019 Subaru Ascent Limited,2019,Subaru,Ascent,great Value,,16464,38488
2015 Nissan Rogue S,2015,Nissan,Rogue,great Value,,77936,16488
2019 Subaru Legacy 2.5i Premium,2019,Subaru,Legacy,great Value,,9700,26000
2019 Porsche 911 Carrera T,2019,Porsche,911,great Value,,5816,118880
2020 Hyundai Tucson Value Edition,2020,Hyundai,Tucson,great Value,,9106,24298
2018 Land Rover Discovery HSE,2018,Land,Rover,great Value,,21894,51490
2017 Audi A6 Premium Plus,2017,Audi,A6,great Value,,27599,29798
2017 Land Rover Discovery HSE,2017,Land,Rover,great Value,,18500,40598
2018 Volkswagen Passat S,2018,Volkswagen,Passat,great Value,,53773,16998
2017 Land Rover Discovery HSE,2017,Land,Rover,great Value,,36289,38698
2019 Mini Cooper Countryman S,2019,Mini,Cooper,great Value,,28372,29500
2018 Land Rover Range Rover Velar R-Dynamic HSE,2018,Land,Rover,great Value,,52466,54880
2018 Hyundai Tucson Limited Edition,2018,Hyundai,Tucson,great Value,,35154,23999
2017 Dodge Challenger GT,2017,Dodge,Challenger,great Value,,32854,29999
2016 Chevrolet Spark LT LT1,2016,Chevrolet,Spark,great Value,,131892,8999
2014 Jeep Wrangler Rubicon,2014,Jeep,Wrangler,great Value,,104657,31577
2009 Mini Cooper S,2009,Mini,Cooper,great Value,,135115,6900
2019 Ram 2500 Power Wagon,2019,Ram,2500,great Value,,12495,52999
2017 Honda Civic EX,2017,Honda,Civic,great Value,,61711,19999
2019 Toyota Highlander SE,2019,Toyota,Highlander,good Value,,10500,43995
2019 Toyota Camry LE,2019,Toyota,Camry,good Value,,25767,25886
2020 Toyota Tundra Platinum,2020,Toyota,Tundra,great Value,8 Cyl 5.7 L,24159,53631
2018 Jeep Grand Cherokee Limited Edition,2018,Jeep,Grand,great Value,,26799,34663
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,23235,39452
2019 Mercedes-Benz A-Class A 220,2019,Mercedes-Benz,A-Class,great Value,,28655,33000
2018 Dodge Grand Caravan SXT,2018,Dodge,Grand,great Value,,81223,18987
2018 Chevrolet Silverado 1500 LT LT1,2018,Chevrolet,Silverado,great Value,,24087,40471
2020 Ram 1500 Limited,2020,Ram,1500,great Value,,18345,61267
2019 Chevrolet Corvette Grand Sport LT1,2019,Chevrolet,Corvette,great Value,,4080,68308
2019 Toyota 4Runner Limited Edition,2019,Toyota,4Runner,great Value,,19769,46534
2018 Jeep Grand Cherokee Overland,2018,Jeep,Grand,great Value,,39012,38888
2018 Jeep Cherokee Trailhawk,2018,Jeep,Cherokee,great Value,,49521,27088
2017 Alfa Romeo Giulia Ti,2017,Alfa,Romeo,great Value,,38219,29660
2019 GMC Sierra 3500HD Denali,2019,GMC,Sierra,great Value,,4051,74950
2018 Ford Explorer XLT,2018,Ford,Explorer,great Value,,39470,33400
2015 Mercedes-Benz S-Class S 550,2015,Mercedes-Benz,S-Class,great Value,,57118,44625
2021 Toyota Tundra SR5,2021,Toyota,Tundra,great Value,,13574,43700
2019 Volvo XC90 T6 Momentum,2019,Volvo,XC90,great Value,,34654,47175
2018 Ford Escape SEL,2018,Ford,Escape,great Value,,80257,20000
2019 Hyundai Elantra SEL,2019,Hyundai,Elantra,great Value,,11944,20205
2019 Kia Optima SX,2019,Kia,Optima,great Value,,14192,27253
2017 Ford Explorer Base,2017,Ford,Explorer,great Value,,95313,21995
2021 Ford F-150 Lariat,2021,Ford,F-150,great Value,,20304,58690
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,20866,41257
2014 Ram 2500 Tradesman,2014,Ram,2500,great Value,,69927,30984
2018 Ford Expedition MAX Limited,2018,Ford,Expedition,great Value,,44256,53995
2021 Audi SQ5 Prestige,2021,Audi,SQ5,great Value,6 Cyl 3.0 L,5189,67999
2017 Mitsubishi Mirage G4 ES,2017,Mitsubishi,Mirage,great Value,,36211,10591
2018 Volkswagen Golf SE,2018,Volkswagen,Golf,great Value,,17104,21499
2019 Toyota Highlander XLE,2019,Toyota,Highlander,great Value,,20866,41257
2021 Ford F-150 Lariat,2021,Ford,F-150,great Value,,20304,58690
2017 Hyundai Tucson Value Edition,2017,Hyundai,Tucson,great Value,,94724,20777
2021 Subaru Impreza Sport,2021,Subaru,Impreza,great Value,,12864,23650
2021 Buick Encore GX Select,2021,Buick,Encore,great Value,,5908,29755
2019 Mercedes-Benz Sprinter 2500,2019,Mercedes-Benz,Sprinter,great Value,,5340,48980
2017 Hyundai Santa Fe SE,2017,Hyundai,Santa,great Value,,55264,24200
2017 Hyundai Sonata Limited Edition,2017,Hyundai,Sonata,great Value,,53336,19995
2018 Dodge Challenger SXT,2018,Dodge,Challenger,great Value,,21823,26200
2021 Honda CR-V Touring,2021,Honda,CR-V,great Value,,6890,34899
2007 Ford Mustang GT Premium,2007,Ford,Mustang,great Value,,22454,18999
2016 Chevrolet Cruze LS,2016,Chevrolet,Cruze,great Value,,78459,13200
2014 Cadillac ATS Luxury,2014,Cadillac,ATS,great Value,,45709,21355
2014 Audi Q7 Premium,2014,Audi,Q7,great Value,,83674,21995
2011 Acura TL Technology,2011,Acura,TL,great Value,,170633,10995
2002 Ford Excursion XLT,2002,Ford,Excursion,great Value,,190220,7990
2019 Subaru Crosstrek Premium,2019,Subaru,Crosstrek,great Value,,29742,28000
2016 Jeep Wrangler Sahara,2016,Jeep,Wrangler,great Value,,99950,31555
2018 Ford Focus SEL,2018,Ford,Focus,great Value,,26420,17990
2018 Chevrolet Silverado 2500HD LT,2018,Chevrolet,Silverado,great Value,,27356,53497
2018 Mazda Mazda3 Sport,2018,Mazda,Mazda3,great Value,,40395,19500
2019 Ram 2500 Power Wagon,2019,Ram,2500,great Value,,9428,65889
2020 Volkswagen Atlas SE,2020,Volkswagen,Atlas,great Value,,7019,35988
2018 Honda CR-V EXL,2018,Honda,CR-V,great Value,,42712,29489
2011 Toyota Tundra Grade,2011,Toyota,Tundra,great Value,,257442,13999
2015 Kia Soul+,2015,Kia,Soul+,great Value,,89607,12950
2016 Chevrolet Cruze LT,2016,Chevrolet,Cruze,great Value,,83164,11950
2020 Honda Odyssey Elite,2020,Honda,Odyssey,great Value,,30184,43581
2015 Acura TLX Technology,2015,Acura,TLX,great Value,,73822,19990
2010 Hyundai Elantra GLS,2010,Hyundai,Elantra,great Value,,141206,6499
2015 Toyota Camry XLE,2015,Toyota,Camry,great Value,,102507,16788
2019 Mercedes-Benz C-Class C 300,2019,Mercedes-Benz,C-Class,great Value,,16209,35525
2018 Honda Civic Sport Touring,2018,Honda,Civic,great Value,,25125,27988
2018 Chevrolet Silverado 1500 LT LT1,2018,Chevrolet,Silverado,great Value,,22713,41990
2018 Ford Escape Titanium,2018,Ford,Escape,great Value,,34443,27581
2015 Ford Explorer Sport,2015,Ford,Explorer,good Value,,89419,23988
2021 Toyota Tundra SR5,2021,Toyota,Tundra,great Value,,5057,48991
2020 Ram 1500 Limited,2020,Ram,1500,great Value,,10883,59900
2001 BMW 3 Series 325i,2001,BMW,3,good Value,,153299,5995
2005 Lexus IS 300,2005,Lexus,IS,great Value,,217185,7642
2012 Acura TSX Technology,2012,Acura,TSX,great Value,,109692,14488
2013 Hyundai Santa Fe Sport 2.0T,2013,Hyundai,Santa,great Value,,86327,15991
2017 Dodge Journey SXT,2017,Dodge,Journey,great Value,,84344,15488
2019 Subaru Ascent Limited,2019,Subaru,Ascent,good Value,,14864,39955
2020 Kia Telluride EX,2020,Kia,Telluride,good Value,,27501,49685
2019 Honda Odyssey Elite,2019,Honda,Odyssey,good Value,,18287,46995
2020 Toyota Avalon Limited Edition,2020,Toyota,Avalon,good Value,,27227,41838
2016 Hyundai Accent SE,2016,Hyundai,Accent,great Value,4 Cyl 1.6 L,81677,10344
2004 Toyota Sienna LE,2004,Toyota,Sienna,great Value,,279767,3995
2019 Honda Odyssey Elite,2019,Honda,Odyssey,good Value,,18287,46995
2020 Toyota Avalon Limited Edition,2020,Toyota,Avalon,good Value,,27227,41838
2019 Subaru Crosstrek Limited,2019,Subaru,Crosstrek,good Value,,82145,27195
2019 Subaru Ascent Limited,2019,Subaru,Ascent,good Value,,39317,39244
2002 Dodge Dakota SLT Plus,2002,Dodge,Dakota,great Value,,99954,6995
2018 Toyota Highlander Limited,2018,Toyota,Highlander,good Value,,41190,39991
2006 Acura MDX Touring,2006,Acura,MDX,great Value,,225251,4500
2017 Chevrolet Camaro SS 2SS,2017,Chevrolet,Camaro,great Value,,23311,42900
2020 Honda Accord Sport,2020,Honda,Accord,great Value,,13669,29322
2020 Nissan Rogue SV,2020,Nissan,Rogue,great Value,,13452,26650
2015 Land Rover LR4 HSE,2015,Land,Rover,great Value,,97280,27488
2020 Ford Explorer XLT,2020,Ford,Explorer,great Value,,5806,41787
2015 Jeep Wrangler Sahara,2015,Jeep,Wrangler,great Value,,56411,34900
2019 Mercedes-Benz CLA 250,2019,Mercedes-Benz,CLA,great Value,,23521,31755
2017 Hyundai Elantra SE,2017,Hyundai,Elantra,great Value,,35822,16595
2019 Ford Fusion SE,2019,Ford,Fusion,great Value,,35870,19990
2017 Chevrolet Tahoe LT,2017,Chevrolet,Tahoe,great Value,,54928,43500
2015 GMC Sierra 2500HD Denali,2015,GMC,Sierra,great Value,,160452,42000
2018 Subaru Forester 2.5i,2018,Subaru,Forester,great Value,,75824,22490
2018 Toyota RAV4 XLE,2018,Toyota,RAV4,great Value,,48025,28981
2020 Ford Escape SE Sport,2020,Ford,Escape,great Value,,26597,29998
2017 Toyota Corolla iM Base,2017,Toyota,Corolla,great Value,,42145,16998
